Def. de projeto ;JAZIDA
EX-BSRF0ATP-15;ATAPU
IN-3A42-12-435;ATAPU
IN-3A42-13-454;ATAPU
IN-3A42-13-504;ATAPU
IN-3A42-14-594;ATAPU
IN-3A42-15-395;ATAPU
IN-3A42-15-575;ATAPU
IN-3A49-17-530;ATAPU
JV-3A28-09-530;ATAPU
JV-3A28-13-562;ATAPU
JV-3A49-16-454;ATAPU
JV-3A49-17-530;ATAPU
JV-3A50-20-001;ATAPU
JV-3A51-18-454;ATAPU
JV-3A51-18-530;ATAPU
JV-3A51-20-454;ATAPU
JV-3A51-21-133;ATAPU
JV-3A51-22-001;ATAPU
JV-3A51-22-225;ATAPU
JV-3A51-22-484;ATAPU
JC-3A28-09-530;ATAPU
JC-3A28-13-562;ATAPU
JC-3A49-16-454;ATAPU
JC-3A49-17-530;ATAPU
JC-3A50-20-001;ATAPU
JC-3A51-18-454;ATAPU
JC-3A51-18-530;ATAPU
JC-3A51-20-454;ATAPU
JC-3A51-21-133;ATAPU
JC-3A51-22-001;ATAPU
JC-3A51-22-225;ATAPU
JC-3A51-22-484;ATAPU
IN-3A52-16-549;BERBIGÃO
JV-3A28-13-549;BERBIGÃO
JV-3A28-13-563;BERBIGÃO
JV-3A28-14-573;BERBIGÃO
JV-3A50-16-549;BERBIGÃO
JV-3A52-18-549;BERBIGÃO
JV-3A52-19-549;BERBIGÃO
JV-3A52-20-001;BERBIGÃO
JV-3A52-22-001;BERBIGÃO
JC-3A28-13-549;BERBIGÃO
JC-3A28-13-563;BERBIGÃO
JC-3A28-14-573;BERBIGÃO
JC-3A50-16-549;BERBIGÃO
JC-3A52-18-549;BERBIGÃO
JC-3A52-19-549;BERBIGÃO
JC-3A52-20-001;BERBIGÃO
JC-3A52-22-001;BERBIGÃO
IN-3A39-11-500;ITAPU
IN-3A39-13-441;ITAPU
IN-3A39-14-434;ITAPU
IN-3A39-15-597;ITAPU
IN-3A39-20-001;ITAPU
IN-3A39-20-002;ITAPU
IN-3A39-22-001;ITAPU
JV-3A39-20-001;ITAPU
JV-3A39-20-440;ITAPU
JV-3A39-20-441;ITAPU
JC-3A39-20-001;ITAPU
JC-3A39-20-440;ITAPU
JC-3A39-20-441;ITAPU
JV-3A41-12-542;JÚPITER
JV-3A41-14-515;JÚPITER
JV-3A41-19-515;JÚPITER
JC-3A41-12-542;JÚPITER
JC-3A41-14-515;JÚPITER
JC-3A41-19-515;JÚPITER
JV-3A03-09-477;SAPINHOÁ
JV-3A29-09-531;SAPINHOÁ
JV-3A29-10-457;SAPINHOÁ
JV-3A29-11-496;SAPINHOÁ
JV-3A29-11-532;SAPINHOÁ
